,Time,Open,High,Close,Low,Volume
0, 09:30,906.878,908.0,908.0,906.878,852763
1, 09:31,906.715,910.38,905.83,905.0,260691
2, 09:32,905.831,910.0,907.22,903.0,208853
3, 09:33,907.22,907.22,898.02,898.0,465147
4, 09:34,898.02,902.8,902.17,898.0,173735
5, 09:35,901.49,904.4,903.34,900.88,144888
6, 09:36,903.485,903.675,902.81,899.99,127652
7, 09:37,903.4,905.8,902.0,902.0,105543
8, 09:38,902.64,905.51,905.38,900.6,97786
9, 09:39,905.36,911.0,910.785,904.69,171973
10, 09:40,911.0,911.0,903.98,902.77,145166
11, 09:41,903.01,905.892,904.156,901.19,122187
12, 09:42,904.495,909.329,908.71,903.16,79829
13, 09:43,909.33,914.52,912.804,906.35,176682
14, 09:44,912.815,915.45,913.988,910.3,142466
15, 09:45,913.97,914.99,910.23,907.47,88840
16, 09:46,909.95,910.46,908.25,907.54,54141
17, 09:47,907.542,910.0,909.76,906.03,74203
18, 09:48,910.0,910.7,907.64,906.0,61111
19, 09:49,907.185,907.83,903.19,903.19,108133
20, 09:50,903.17,906.08,905.22,902.92,66616
21, 09:51,905.2,907.0,905.027,904.57,59720
22, 09:52,905.17,907.49,906.98,904.24,58224
23, 09:53,906.98,910.5,909.77,906.155,84790
24, 09:54,909.41,911.469,911.46,908.25,54587
25, 09:55,911.01,918.776,918.0,909.59,178572
26, 09:56,918.68,919.56,916.32,916.02,105626
27, 09:57,917.0,921.688,915.99,914.84,153975
28, 09:58,915.54,916.83,914.43,913.65,77817
29, 09:59,914.71,917.407,915.04,914.03,53812
30, 10:00,914.845,915.69,913.529,912.0,81661
31, 10:01,913.2,913.68,912.0,910.0,83775
32, 10:02,911.845,915.5,914.505,910.27,47536
33, 10:03,914.0,914.33,910.46,908.42,95443
34, 10:04,910.389,911.315,909.326,909.326,43783
35, 10:05,909.07,911.2,909.84,908.61,41501
36, 10:06,909.5,911.7,909.655,909.0,44406
37, 10:07,909.82,910.5,909.5,908.52,34394
38, 10:08,909.25,909.81,906.46,906.215,55060
39, 10:09,906.51,908.75,908.05,906.28,35810
40, 10:10,907.43,909.0,907.1,906.58,38879
41, 10:11,907.46,908.75,907.34,906.298,38000
42, 10:12,906.72,908.3,906.0,906.0,45608
43, 10:13,905.76,906.55,906.052,905.23,46957
44, 10:14,905.62,909.39,908.27,905.62,58901
45, 10:15,907.729,909.245,908.51,907.5,32488
