,Time,Open,High,Close,Low,Volume
0, 09:30,43.175,43.175,43.16,43.156,1265780
1, 09:31,42.98,43.06,43.045,42.91,813365
2, 09:32,43.06,43.08,42.92,42.88,217375
3, 09:33,42.92,43.06,43.01,42.92,244200
4, 09:34,43.005,43.005,42.945,42.91,186651
5, 09:35,42.94,42.96,42.955,42.815,425260
6, 09:36,42.96,43.04,43.034,42.899,172327
7, 09:37,43.031,43.13,43.125,43.0,262196
8, 09:38,43.13,43.16,43.07,43.03,241047
9, 09:39,43.07,43.11,43.027,43.0,213645
10, 09:40,43.03,43.03,43.0,42.93,265554
11, 09:41,42.99,43.07,42.99,42.97,142999
12, 09:42,42.995,43.06,43.02,42.965,148820
13, 09:43,43.02,43.02,42.985,42.95,166377
14, 09:44,42.99,43.01,43.0,42.94,229010
15, 09:45,43.0,43.07,43.05,42.93,313599
16, 09:46,43.058,43.11,43.07,43.04,179036
17, 09:47,43.07,43.095,43.05,43.03,121062
18, 09:48,43.06,43.09,43.04,43.04,124392
19, 09:49,43.05,43.05,42.963,42.95,189608
20, 09:50,42.96,42.96,42.895,42.89,161300
21, 09:51,42.895,42.98,42.92,42.89,204507
22, 09:52,42.92,42.92,42.885,42.88,130492
23, 09:53,42.881,42.925,42.905,42.85,150319
24, 09:54,42.905,42.935,42.92,42.87,106546
25, 09:55,42.92,42.97,42.945,42.91,117363
26, 09:56,42.94,43.043,43.043,42.93,84652
27, 09:57,43.045,43.1,43.01,43.01,224180
28, 09:58,43.019,43.019,42.975,42.95,140071
29, 09:59,42.98,43.08,43.06,42.97,165851
30, 10:00,43.07,43.085,43.0,42.97,183398
31, 10:01,43.0,43.065,43.032,42.99,101222
32, 10:02,43.03,43.15,43.13,43.03,207075
33, 10:03,43.13,43.15,43.1,43.08,154935
34, 10:04,43.09,43.125,43.1,43.075,133083
35, 10:05,43.1,43.13,43.12,43.1,59331
36, 10:06,43.12,43.2,43.17,43.12,115895
37, 10:07,43.17,43.195,43.16,43.15,92907
38, 10:08,43.161,43.17,43.13,43.09,117274
39, 10:09,43.125,43.17,43.15,43.1,100731
40, 10:10,43.155,43.155,43.105,43.1,80019
41, 10:11,43.102,43.159,43.14,43.095,95840
42, 10:12,43.135,43.15,43.105,43.09,99334
43, 10:13,43.104,43.158,43.158,43.1,111706
44, 10:14,43.155,43.2,43.175,43.15,160340
45, 10:15,43.17,43.2,43.151,43.13,190405
46, 10:16,43.15,43.2,43.195,43.13,119408
47, 10:17,43.195,43.23,43.23,43.181,222947
48, 10:18,43.225,43.36,43.3,43.223,210316
49, 10:19,43.305,43.33,43.31,43.289,113743
50, 10:20,43.31,43.355,43.31,43.3,134671
51, 10:21,43.315,43.32,43.265,43.23,139033
52, 10:22,43.265,43.29,43.255,43.23,105032
53, 10:23,43.251,43.27,43.22,43.195,65252
54, 10:24,43.215,43.23,43.195,43.18,97545
55, 10:25,43.195,43.195,43.145,43.135,103024
56, 10:26,43.14,43.17,43.165,43.102,154550
57, 10:27,43.165,43.21,43.17,43.14,141240
58, 10:28,43.16,43.175,43.145,43.13,97257
59, 10:29,43.14,43.155,43.125,43.11,249554
60, 10:30,43.125,43.135,43.11,43.09,224455
61, 10:31,43.11,43.15,43.11,43.1,143710
62, 10:32,43.105,43.12,43.117,43.09,142522
63, 10:33,43.115,43.13,43.08,43.08,257218
64, 10:34,43.09,43.13,43.125,43.08,179943
65, 10:35,43.12,43.14,43.115,43.1,126747
66, 10:36,43.12,43.14,43.105,43.09,156996
67, 10:37,43.105,43.115,43.055,43.055,416456
68, 10:38,43.06,43.07,43.005,42.95,293220
69, 10:39,43.0,43.05,43.04,42.995,143077
70, 10:40,43.04,43.05,43.035,43.0,113733
71, 10:41,43.04,43.054,43.02,43.02,83275
72, 10:42,43.02,43.05,42.99,42.98,163206
73, 10:43,42.985,42.991,42.984,42.95,112014
74, 10:44,42.98,43.01,42.975,42.97,97507
75, 10:45,42.975,43.0,42.985,42.955,193811
76, 10:46,42.985,43.02,42.968,42.964,68623
77, 10:47,42.96,42.97,42.95,42.94,99544
78, 10:48,42.94,42.96,42.92,42.91,163267
79, 10:49,42.925,42.93,42.905,42.904,66486
80, 10:50,42.905,42.93,42.93,42.9,103281
81, 10:51,42.925,42.95,42.94,42.92,160205
82, 10:52,42.935,42.95,42.935,42.933,27692
83, 10:53,42.935,42.935,42.915,42.905,68829
84, 10:54,42.92,42.94,42.895,42.89,143363
85, 10:55,42.89,42.935,42.91,42.88,153204
86, 10:56,42.91,42.92,42.903,42.895,52724
87, 10:57,42.905,42.905,42.885,42.875,131987
88, 10:58,42.88,42.9,42.9,42.86,101794
89, 10:59,42.9,42.925,42.885,42.864,73631
90, 11:00,42.89,42.92,42.887,42.85,125852
91, 11:01,42.89,42.92,42.865,42.855,52269
92, 11:02,42.865,42.89,42.87,42.855,80970
93, 11:03,42.88,42.89,42.845,42.84,84606
94, 11:04,42.845,42.86,42.84,42.825,161460
95, 11:05,42.84,42.86,42.847,42.83,68108
96, 11:06,42.84,42.89,42.86,42.835,140793
97, 11:07,42.855,42.86,42.855,42.83,124210
98, 11:08,42.85,42.88,42.865,42.84,65082
99, 11:09,42.87,42.89,42.87,42.86,56761
100, 11:10,42.87,42.9,42.85,42.85,81738
101, 11:11,42.86,42.86,42.84,42.83,79829
102, 11:12,42.84,42.875,42.86,42.83,92423
103, 11:13,42.86,42.87,42.834,42.834,102152
104, 11:14,42.838,42.855,42.835,42.83,101497
105, 11:15,42.835,42.835,42.81,42.81,271234
106, 11:16,42.82,42.82,42.76,42.76,256202
107, 11:17,42.764,42.78,42.76,42.73,289267
108, 11:18,42.75,42.78,42.77,42.73,71925
109, 11:19,42.765,42.78,42.775,42.75,182456
110, 11:20,42.78,42.79,42.77,42.765,147959
111, 11:21,42.78,42.78,42.76,42.745,91312
112, 11:22,42.76,42.84,42.84,42.754,154688
113, 11:23,42.835,42.865,42.85,42.815,104091
114, 11:24,42.85,42.87,42.86,42.835,64407
115, 11:25,42.865,42.87,42.864,42.85,98818
116, 11:26,42.865,42.88,42.87,42.85,170622
117, 11:27,42.87,42.895,42.87,42.859,78575
118, 11:28,42.87,42.91,42.9,42.87,96596
119, 11:29,42.9,42.91,42.885,42.865,133726
120, 11:30,42.88,42.91,42.905,42.875,89146
121, 11:31,42.91,42.95,42.935,42.9,276209
122, 11:32,42.94,42.97,42.915,42.91,113760
123, 11:33,42.915,42.93,42.91,42.9,113639
124, 11:34,42.917,42.94,42.92,42.905,67135
125, 11:35,42.92,42.96,42.915,42.915,240281
126, 11:36,42.92,42.925,42.885,42.88,66451
127, 11:37,42.885,42.89,42.87,42.87,45462
128, 11:38,42.87,42.88,42.865,42.86,91110
129, 11:39,42.867,42.91,42.91,42.865,52130
130, 11:40,42.905,42.91,42.864,42.864,69617
131, 11:41,42.87,42.915,42.915,42.865,967642
132, 11:42,42.91,42.945,42.92,42.895,91989
133, 11:43,42.92,42.96,42.945,42.91,45765
134, 11:44,42.93,42.956,42.955,42.91,66947
135, 11:45,42.95,42.95,42.9,42.9,44709
136, 11:46,42.9,42.91,42.9,42.88,77048
137, 11:47,42.9,42.91,42.885,42.882,39471
138, 11:48,42.885,42.9,42.885,42.88,48241
139, 11:49,42.885,42.93,42.92,42.885,67228
140, 11:50,42.92,42.94,42.94,42.91,48745
141, 11:51,42.94,42.96,42.95,42.93,48002
142, 11:52,42.95,42.95,42.939,42.931,54592
143, 11:53,42.93,42.946,42.915,42.91,75889
144, 11:54,42.91,42.92,42.9,42.885,130572
145, 11:55,42.9,42.91,42.87,42.87,87359
146, 11:56,42.862,42.875,42.86,42.855,56259
