Time,Open,High,Close,Low,Volume
 09:30,906.878,908.0,908.0,906.878,852763
 09:31,906.715,910.38,905.83,905.0,260691
 09:32,905.831,910.0,907.22,903.0,208853
 09:33,907.22,907.22,898.02,898.0,465147
 09:34,898.02,902.8,902.17,898.0,173735
 09:35,901.49,904.4,903.34,900.88,144888
 09:36,903.485,903.675,902.81,899.99,127652
 09:37,903.4,905.8,902.0,902.0,105543
 09:38,902.64,905.51,905.38,900.6,97786
 09:39,905.36,911.0,910.785,904.69,171973
 09:40,911.0,911.0,903.98,902.77,145166
 09:41,903.01,905.892,904.156,901.19,122187
 09:42,904.495,909.329,908.71,903.16,79829
 09:43,909.33,914.52,912.804,906.35,176682
 09:44,912.815,915.45,913.988,910.3,142466
 09:45,913.97,914.99,910.23,907.47,88840
 09:46,909.95,910.46,908.25,907.54,54141
 09:47,907.542,910.0,909.76,906.03,74203
 09:48,910.0,910.7,907.64,906.0,61111
 09:49,907.185,907.83,903.19,903.19,108133
 09:50,903.17,906.08,905.22,902.92,66616
 09:51,905.2,907.0,905.027,904.57,59720
 09:52,905.17,907.49,906.98,904.24,58224
 09:53,906.98,910.5,909.77,906.155,84790
 09:54,909.41,911.469,911.46,908.25,54587
 09:55,911.01,918.776,918.0,909.59,178572
 09:56,918.68,919.56,916.32,916.02,105626
 09:57,917.0,921.688,915.99,914.84,153975
 09:58,915.54,916.83,914.43,913.65,77817
 09:59,914.71,917.407,915.04,914.03,53812
 10:00,914.845,915.69,913.529,912.0,81661
 10:01,913.2,913.68,912.0,910.0,83775
 10:02,911.845,915.5,914.505,910.27,47536
 10:03,914.0,914.33,910.46,908.42,95443
 10:04,910.389,911.315,909.326,909.326,43783
 10:05,909.07,911.2,909.84,908.61,41501
 10:06,909.5,911.7,909.655,909.0,44406
 10:07,909.82,910.5,909.5,908.52,34394
 10:08,909.25,909.81,906.46,906.215,55060
 10:09,906.51,908.75,908.05,906.28,35810
 10:10,907.43,909.0,907.1,906.58,38879
 10:11,907.46,908.75,907.34,906.298,38000
 10:12,906.72,908.3,906.0,906.0,45608
 10:13,905.76,906.55,906.052,905.23,46957
 10:14,905.62,909.39,908.27,905.62,58901
 10:15,907.729,909.245,908.51,907.5,32488
 10:16,908.53,911.72,911.356,908.27,74213
 10:17,910.926,913.97,912.26,910.084,83291
 10:18,912.22,913.79,913.358,911.88,47361
 10:19,913.53,913.61,911.875,911.39,43863
 10:20,912.21,912.85,911.595,909.6,44500
 10:21,911.04,911.34,911.33,909.49,21927
 10:22,911.34,913.34,911.57,910.085,44510
 10:23,911.555,912.18,911.148,909.55,39274
 10:24,911.169,911.37,909.35,909.0,34603
 10:25,909.136,910.622,910.479,908.13,42712
 10:26,910.68,911.0,910.908,909.23,39972
 10:27,910.437,912.13,911.32,910.0,37105
 10:28,911.01,911.03,909.21,908.77,27956
 10:29,908.76,909.8,906.031,906.0,85823
 10:30,906.4,906.5,905.766,904.79,93725
 10:31,905.795,907.3,907.3,905.42,51450
 10:32,906.66,907.0,905.19,905.1,35473
 10:33,905.43,908.8,908.14,905.0,47591
 10:34,907.59,907.9,907.39,906.0,35330
 10:35,907.413,908.6,908.13,906.15,32561
 10:36,908.41,910.83,909.32,907.13,59915
 10:37,909.3,909.94,908.0,906.77,28407
 10:38,908.23,910.57,908.985,908.0,34562
 10:39,909.689,910.09,908.95,908.25,22899
 10:40,908.93,909.4,907.72,906.65,30008
 10:41,907.31,907.8,907.07,906.5,19829
 10:42,906.92,908.31,907.75,906.15,32468
 10:43,908.23,909.0,907.83,906.38,26007
 10:44,907.256,908.4,908.4,906.47,16992
 10:45,908.585,908.89,905.62,905.6,51502
 10:46,905.6,906.531,905.91,905.5,41006
 10:47,906.43,907.192,906.32,905.6,32589
 10:48,906.45,906.45,903.01,902.57,109370
 10:49,903.44,904.0,903.184,902.92,40713
 10:50,903.12,904.17,903.303,902.95,50957
 10:51,903.48,903.9,903.36,902.79,47060
 10:52,903.5,903.55,899.14,899.14,232109
 10:53,899.25,900.625,899.76,898.2,138972
 10:54,899.43,901.0,900.455,899.04,76573
 10:55,900.31,900.93,900.56,899.54,58014
 10:56,900.455,902.23,899.645,898.51,88248
 10:57,899.665,899.665,897.67,896.78,150111
 10:58,897.46,897.75,896.26,895.125,137818
 10:59,896.05,898.54,898.17,895.94,86337
 11:00,898.131,900.0,898.79,897.62,75836
 11:01,898.466,898.61,897.0,896.51,56533
 11:02,897.21,897.25,896.53,895.155,91999
 11:03,896.19,897.0,895.619,895.619,43054
 11:04,895.55,896.7,895.93,895.12,68570
 11:05,896.14,896.59,895.5,895.334,56697
 11:06,895.69,896.0,894.44,893.39,138859
 11:07,894.615,895.33,894.99,893.432,80657
 11:08,894.645,896.02,895.24,894.13,65151
 11:09,895.175,897.99,897.05,895.017,83809
 11:10,896.976,898.85,896.65,895.83,65647
 11:11,896.4,897.88,897.22,895.7,45104
 11:12,897.402,900.66,899.152,897.23,58462
 11:13,898.842,899.447,899.05,897.88,41571
 11:14,898.87,898.87,898.55,897.54,25884
 11:15,898.365,899.268,896.447,896.338,38014
 11:16,896.29,900.0,900.0,896.197,37747
 11:17,899.835,899.92,898.52,898.307,27473
 11:18,898.53,899.5,899.09,897.83,32336
 11:19,899.43,901.75,900.95,898.3,59702
 11:20,901.01,901.96,899.125,899.027,51896
 11:21,899.0,900.75,899.895,898.76,37341
 11:22,899.795,902.69,902.66,899.0,47373
 11:23,902.64,903.989,902.98,902.23,84584
 11:24,902.7,904.393,903.97,902.534,60089
 11:25,903.97,905.0,903.0,903.0,60089
 11:26,903.37,903.4,902.36,901.19,36146
 11:27,902.41,903.0,901.4,901.173,33970
 11:28,901.63,901.93,900.775,899.69,49291
 11:29,900.6,901.6,901.41,900.42,24655
 11:30,901.28,901.58,900.78,900.14,19452
 11:31,900.64,903.0,902.31,900.64,36178
 11:32,901.54,902.88,900.16,900.16,26777
 11:33,900.0,900.81,898.83,898.27,54573
 11:34,899.26,900.41,899.74,899.0,22715
 11:35,899.265,900.999,900.04,899.24,31594
 11:36,899.5,900.0,898.725,898.64,21193
